                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1526,                 3.6073,                 1.7118,                0.27135,                0.13966,                 0.1084,                0.03884,                 2.6286,                 3.1937,                 1.4487,             0.00066514,             0.00066514,             0.00066514
                      2,                  2.171,                 2.5056,                 1.7638,                0.32036,                0.18296,                0.13542,                0.05193,                 2.5451,                 2.5736,                 1.3991,              0.0013054,              0.0013054,              0.0013054
                      3,                 2.1502,                  2.356,                 1.7516,                0.38864,                0.17757,                0.16876,                0.06344,                 2.5856,                 2.6483,                 1.4068,              0.0019193,              0.0019193,              0.0019193
                      4,                   2.13,                 2.2656,                 1.7242,                0.32791,                0.16201,                0.13735,                 0.0546,                 2.5313,                 2.9957,                 1.4197,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.0791,                 2.1743,                 1.6905,                0.25972,                0.19553,                0.15919,                0.06163,                 2.5241,                 2.7753,                 1.3944,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.0403,                  2.088,                  1.652,                0.38876,                 0.2081,                0.20388,                0.07465,                 2.4436,                 2.3513,                 1.3531,               0.001802,               0.001802,               0.001802
                      7,                 2.0225,                 2.0225,                 1.6399,                0.44112,                0.17039,                0.16009,                0.06304,                 2.4304,                  3.182,                 1.3397,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.9915,                 1.9844,                 1.6253,                0.42698,                0.22765,                0.20217,                 0.0843,                 2.4645,                 2.4125,                 1.3877,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9796,                 1.9427,                 1.6109,                  0.418,                0.24162,                0.22023,                 0.0869,                 2.4037,                  2.395,                  1.345,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.9709,                 1.8988,                 1.5841,                0.42366,                0.27374,                0.25909,                0.09672,                 2.3182,                 2.1411,                 1.2696,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9419,                 1.8631,                 1.5768,                 0.3967,                0.24245,                0.21846,                0.08707,                 2.3703,                 2.3339,                 1.3189,               0.001604,               0.001604,               0.001604
                     12,                  1.928,                 1.8393,                 1.5566,                0.49422,                0.27095,                0.27343,                0.11854,                 2.2355,                 2.1407,                 1.3014,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9078,                 1.8053,                 1.5395,                0.47144,                0.22346,                0.22625,                 0.0954,                 2.5577,                 2.0786,                 1.4774,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.8936,                 1.7648,                 1.5402,                 0.5211,                0.25279,                0.26105,                0.11333,                 2.3028,                 2.0147,                 1.3338,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.8847,                 1.7517,                 1.5332,                0.43978,                0.26676,                0.26937,                0.10913,                  2.425,                 1.8899,                 1.3695,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.8623,                 1.7275,                 1.5124,                 0.4566,                0.26955,                0.26414,                0.10853,                 2.4491,                 1.8539,                 1.3851,               0.001406,               0.001406,               0.001406
                     17,                 1.8658,                 1.7254,                 1.5164,                0.49893,                0.28352,                0.28272,                 0.1263,                 2.2288,                 2.1396,                 1.2833,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.8556,                  1.701,                 1.5151,                0.57326,                0.28771,                0.32611,                0.14423,                 2.2023,                 1.7432,                 1.2543,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.8381,                  1.666,                 1.5072,                0.52149,                0.28911,                 0.3062,                0.13011,                 2.2171,                 1.9854,                 1.2485,              0.0012872,              0.0012872,              0.0012872
