                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1626,                 3.6004,                 1.6048,                 0.2569,                0.12151,                0.08614,                0.02842,                 2.8376,                 3.6802,                 1.3407,               0.003318,               0.003318,               0.003318
                      2,                 2.0992,                 2.4668,                  1.521,                0.24651,                0.10754,                0.07897,                 0.0265,                  2.639,                 2.8565,                 1.2752,              0.0065855,              0.0065855,              0.0065855
                      3,                 2.1521,                 2.2835,                 1.5582,                 0.1998,                0.12833,                0.08012,                0.02494,                 3.0307,                  2.911,                  1.412,               0.009787,               0.009787,               0.009787
                      4,                 2.2464,                 2.3256,                 1.6313,                 0.1771,                 0.0419,                0.02951,                0.00901,                 3.2988,                 3.8871,                 1.5186,               0.009703,               0.009703,               0.009703
                      5,                 2.2191,                 2.2062,                 1.6164,                0.22648,                0.13128,                0.09354,                0.02869,                 3.0951,                 2.7163,                 1.3938,               0.009604,               0.009604,               0.009604
                      6,                 2.1564,                 2.0899,                 1.5695,                0.20678,                0.17039,                0.09967,                0.03346,                 2.8118,                 2.4895,                 1.2886,               0.009505,               0.009505,               0.009505
                      7,                 2.1193,                 2.0442,                 1.5523,                0.17964,                0.13268,                0.09606,                0.03479,                 2.7638,                 2.9019,                 1.2571,               0.009406,               0.009406,               0.009406
                      8,                 2.1078,                   2.01,                 1.5609,                0.22397,                 0.1243,                0.08639,                0.03114,                 2.6848,                 3.0642,                 1.2375,               0.009307,               0.009307,               0.009307
                      9,                  2.057,                 1.9284,                 1.5087,                0.33475,                0.21369,                 0.1961,                0.07289,                 2.7239,                 2.1367,                 1.2892,               0.009208,               0.009208,               0.009208
                     10,                 2.0582,                 1.9124,                 1.5231,                0.26493,                0.19134,                0.13579,                0.04613,                 2.6574,                 2.3938,                 1.2069,               0.009109,               0.009109,               0.009109
                     11,                  2.037,                 1.8995,                 1.5004,                0.24898,                0.19972,                0.13815,                0.04829,                  2.642,                 2.5877,                  1.256,                0.00901,                0.00901,                0.00901
                     12,                 2.0179,                 1.8434,                 1.4916,                0.26476,                0.15782,                0.11716,                0.04671,                 2.6341,                 2.6277,                 1.2564,               0.008911,               0.008911,               0.008911
                     13,                 1.9887,                 1.8039,                 1.4772,                0.20011,                0.07961,                0.06482,                0.02288,                 2.9881,                 3.0897,                 1.3288,               0.008812,               0.008812,               0.008812
                     14,                 1.9745,                 1.7967,                 1.4642,                0.34447,                0.18156,                0.15183,                0.06106,                 2.5544,                 2.3674,                 1.1951,               0.008713,               0.008713,               0.008713
                     15,                 1.9604,                 1.7653,                 1.4614,                0.34612,                0.15922,                0.12841,                0.04434,                 2.7245,                 2.7041,                 1.2239,               0.008614,               0.008614,               0.008614
                     16,                 1.9587,                 1.7423,                 1.4412,                0.30392,                0.19413,                0.14653,                 0.0563,                 2.5654,                  2.368,                  1.246,               0.008515,               0.008515,               0.008515
                     17,                 1.9449,                 1.7161,                 1.4298,                0.38739,                0.14665,                0.13348,                0.05252,                  2.509,                 2.7697,                 1.2131,               0.008416,               0.008416,               0.008416
                     18,                 1.9365,                 1.7106,                 1.4366,                0.39934,                0.24162,                0.20969,                0.06745,                 2.5472,                 2.2183,                 1.2052,               0.008317,               0.008317,               0.008317
                     19,                 1.9306,                 1.6884,                 1.4422,                0.33794,                0.21508,                0.18692,                0.07469,                 2.3709,                 2.1343,                 1.1589,               0.008218,               0.008218,               0.008218
                     20,                 1.9273,                 1.6876,                 1.4294,                0.34524,                0.21927,                0.17524,                0.06418,                 2.6236,                 2.1996,                 1.2164,               0.008119,               0.008119,               0.008119
                     21,                 1.9147,                 1.6527,                 1.4247,                0.34129,                0.19832,                0.16965,                 0.0602,                  2.673,                 2.1189,                 1.2751,                0.00802,                0.00802,                0.00802
                     22,                 1.9179,                 1.6433,                 1.4224,                0.35514,                0.23883,                0.20017,                0.06627,                 2.6347,                 2.0998,                  1.237,               0.007921,               0.007921,               0.007921
                     23,                 1.8943,                 1.6493,                 1.4218,                0.36163,                0.22207,                 0.1912,                0.06676,                 2.5288,                 2.0973,                 1.1702,               0.007822,               0.007822,               0.007822
                     24,                 1.8955,                 1.6259,                 1.4057,                0.34894,                0.18855,                0.16933,                0.06365,                 2.3628,                 2.5061,                 1.1621,               0.007723,               0.007723,               0.007723
                     25,                 1.8901,                 1.6055,                 1.4061,                0.37348,                0.20531,                 0.1796,                0.07186,                 2.4145,                 2.3574,                 1.1702,               0.007624,               0.007624,               0.007624
                     26,                  1.867,                 1.5857,                 1.3878,                0.41634,                0.26816,                0.23748,                0.08684,                 2.4599,                 2.1302,                  1.223,               0.007525,               0.007525,               0.007525
                     27,                 1.8686,                 1.5769,                 1.3902,                0.50115,                0.26659,                0.28577,                0.10761,                 2.4054,                 2.0601,                 1.1478,               0.007426,               0.007426,               0.007426
                     28,                 1.8713,                 1.5933,                 1.3961,                0.43137,                0.27793,                0.25908,                0.10096,                  2.416,                 1.8194,                 1.1726,               0.007327,               0.007327,               0.007327
                     29,                 1.8513,                 1.5569,                 1.3736,                0.44027,                0.23324,                 0.2302,                0.08663,                 2.3628,                 2.0674,                 1.1482,               0.007228,               0.007228,               0.007228
                     30,                 1.8477,                 1.5379,                 1.3735,                0.40349,                0.26676,                0.22999,                0.08635,                 2.3634,                 1.8938,                 1.1647,               0.007129,               0.007129,               0.007129
                     31,                 1.8469,                 1.5361,                 1.3729,                0.40593,                0.23883,                0.22348,                0.08801,                 2.3935,                 2.0326,                 1.1938,                0.00703,                0.00703,                0.00703
                     32,                 1.8343,                 1.5285,                 1.3646,                 0.4313,                0.24581,                0.24645,                0.10042,                 2.3733,                 1.8914,                 1.1945,               0.006931,               0.006931,               0.006931
                     33,                 1.8266,                 1.5136,                 1.3635,                0.43267,                0.25978,                0.26317,                0.10485,                 2.3515,                 1.8861,                 1.1916,               0.006832,               0.006832,               0.006832
                     34,                 1.8234,                 1.5013,                 1.3614,                0.38982,                0.28641,                0.25249,                0.09551,                 2.3882,                 1.8116,                 1.1673,               0.006733,               0.006733,               0.006733
                     35,                 1.8245,                 1.5037,                 1.3606,                0.37268,                 0.2486,                0.21809,                 0.0799,                 2.3596,                 2.1104,                  1.124,               0.006634,               0.006634,               0.006634
                     36,                 1.8105,                   1.48,                 1.3537,                0.36843,                0.23546,                0.22407,                0.08147,                 2.3279,                 2.0009,                 1.1293,               0.006535,               0.006535,               0.006535
                     37,                 1.8028,                 1.4807,                 1.3469,                0.50052,                0.27095,                0.26888,                0.10102,                 2.4105,                 1.8738,                 1.1853,               0.006436,               0.006436,               0.006436
                     38,                 1.7942,                 1.4546,                 1.3401,                0.38448,                0.22508,                0.21215,                0.07819,                 2.4137,                  2.135,                 1.1807,               0.006337,               0.006337,               0.006337
