                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1631,                 3.6167,                 1.7276,                0.28964,                0.15922,                 0.1206,                0.04542,                 2.5727,                 3.3111,                 1.3502,             0.00066514,             0.00066514,             0.00066514
                      2,                 2.2042,                 2.5649,                 1.7798,                0.20713,                0.13408,                 0.0919,                0.03444,                 2.7436,                 2.6921,                 1.5023,              0.0013054,              0.0013054,              0.0013054
                      3,                 2.1579,                 2.3995,                 1.7633,                0.31432,                0.20251,                0.17355,                0.06674,                 2.4271,                 2.4116,                 1.3347,              0.0019193,              0.0019193,              0.0019193
                      4,                 2.1342,                 2.2715,                  1.736,                0.31343,                0.18994,                0.14944,                0.04827,                   2.75,                 2.4645,                 1.5096,              0.0018812,              0.0018812,              0.0018812
                      5,                 2.0705,                 2.1552,                 1.6806,                0.36377,                 0.2486,                0.22008,                0.08275,                 2.3479,                 2.3771,                 1.2881,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.0545,                 2.0945,                 1.6646,                0.33426,                0.17531,                0.15633,                0.06529,                 2.4728,                 3.0595,                  1.441,               0.001802,               0.001802,               0.001802
                      7,                 2.0153,                 2.0403,                 1.6328,                0.43538,                0.23184,                0.23717,                0.09397,                 2.4196,                 1.9516,                 1.3849,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.9916,                 1.9731,                 1.6173,                0.34841,                0.23464,                 0.2035,                0.08507,                 2.3361,                 2.3036,                 1.3093,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.9838,                 1.9315,                 1.6047,                0.36324,                0.24162,                0.21866,                  0.083,                 2.3737,                 2.3419,                 1.3568,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.9773,                 1.9272,                 1.5986,                0.37795,                0.25698,                0.22781,                0.09488,                 2.3882,                 2.0513,                 1.3622,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.9453,                 1.8822,                 1.5796,                0.45174,                0.28073,                0.28523,                0.11916,                   2.27,                 1.9257,                 1.2861,               0.001604,               0.001604,               0.001604
                     12,                 1.9315,                 1.8532,                 1.5652,                0.42639,                0.29485,                0.26778,                0.11267,                 2.3294,                 1.9363,                 1.3379,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.9144,                  1.811,                 1.5567,                0.46718,                0.26117,                0.25517,                0.11164,                 2.2689,                 1.8794,                 1.3088,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.8954,                 1.7834,                  1.549,                0.51374,                0.26708,                0.28525,                0.11759,                 2.2394,                 1.9308,                  1.297,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.9065,                 1.7798,                 1.5403,                0.42936,                0.24581,                0.24428,                0.10478,                 2.2918,                 2.1473,                 1.3012,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.8886,                 1.7561,                 1.5334,                0.48045,                0.27933,                0.28095,                0.11769,                 2.3894,                  1.905,                 1.3603,               0.001406,               0.001406,               0.001406
                     17,                  1.866,                 1.7357,                 1.5199,                0.50491,                0.27095,                0.27792,                0.11655,                 2.3271,                 1.9914,                 1.3421,              0.0013664,              0.0013664,              0.0013664
